time,yaw,accelerationX,accelerationY,accelerationZ
15.5,356.5625,2.81,-1.67,-1.99
15.531,354.0625,3.98,-1.12,-1.23
15.563,352.3125,3.75,1.53,1.08
15.595,350.5,3.63,-0.82,0.79
15.628,348.75,5.12,-0.25,-0.7
15.66,347,4.37,-0.45,1.6
15.692,344.5625,-2.32,-0.86,1.88
15.724,343.0625,2.85,-0.02,-0.16
15.756,341.0625,3.13,-1.34,-1.01
15.788,339.1875,4.21,0.12,2.05
15.82,337.6875,4.36,-0.8,-2.21
15.852,335.625,4.12,-0.28,2.89
15.884,333.8125,-2.19,-0.12,3.06
15.916,332.5,5.22,-0.28,-1.1
15.948,330.5625,8.89,-0.03,-2.93
15.98,329.3125,2.26,-2.74,0.98
16.012,327.0625,1.84,-2.37,-6.51
16.044,325.3125,4.22,2.6,6.71
16.076,323.5625,3.08,1.4,5.63
16.108,321.6875,5.89,-0.11,-2.55
16.14,320,4.71,-2.61,-5.37
16.192,316.6875,3.58,-1.37,-2.18
16.224,314.75,3.79,-1.73,-1.24
16.256,313,2.21,-0.31,-1.22
16.288,311.1875,0.57,0.74,2.27
16.321,309.1875,-0.04,0.61,-0.14
16.353,306.75,-0.14,-0.5,1.96
16.385,305.0625,3.63,-1.95,-3.72
16.417,303.4375,8.67,-0.52,-0.95
16.449,301.625,5.89,-2.65,0.86
16.501,299.9375,7.77,-0.62,-3.26
16.533,296.625,2.24,2.01,1.12
16.565,296.3125,0.21,1.29,4.16
16.597,296.3125,0.49,-1.88,0.2
16.629,296.6875,1.38,-3.19,-3.6
16.702,296.875,-0.45,-2.93,0.89
16.734,296.875,1.03,-2.97,-3.06
16.766,296.8125,0.75,-2.26,3.45
16.798,296.75,1.5,-2.86,-3.7
16.83,296.6875,0.47,-2.28,-1.7
16.882,296.6875,1.27,-1.51,-1.67
16.914,296.6875,0.47,-3.26,-1.39
16.946,296.5625,6.55,6.82,-2.35
16.978,293.4375,0.19,-5.09,-4.28
17.01,286.5625,11.05,-2.61,-1.64
17.063,275.1875,9.71,0.22,-0.42
17.095,271.125,4.34,-0.5,-3
17.127,266.875,10.2,3.94,-1.16
17.159,262.0625,9.3,1.73,2.71
17.191,257,10.64,-0.11,-5.74
17.263,243.625,7.81,3.26,2.57
17.295,238.9375,6.12,-0.27,1.53
17.327,234.25,8.05,-0.35,-3.3
17.359,229.5625,9.65,-0.73,-3.3
17.391,224.8125,5.9,-0.97,0.01
17.423,218.5,-2.39,-2.47,-4.58
17.455,213.875,7.05,-0.04,-0.48
17.487,209.25,6.5,0.55,2.2
17.519,204.5625,8.03,-0.66,-4.18
17.551,199.9375,7.2,-2.18,-2.92
17.603,193.6875,8.05,3.09,6.05
17.635,187.3125,5.58,1.75,6.8
17.667,185.4375,0.77,0.82,-4.62
17.699,184.6875,0.35,-3.5,-4.76
17.731,184.375,-0.71,-2.71,-0.65
17.763,184.125,-1.35,-2.8,-1.68
17.795,184.0625,0.19,-3.84,-1.95
17.827,183.9375,0.24,-1.06,2.95
17.859,183.875,-0.79,-1.04,-1.43
17.891,183.875,-0.6,-1.56,-3.11
17.943,183.75,-2.82,-2.77,-1.04
17.975,184.0625,-0.79,-2.2,-0.55
18.007,184,-1.03,-3.22,0.88
18.039,184,-0.51,-3.17,-1.67
18.071,184,-0.24,0,3.32
18.143,184.0625,-0.41,-2.04,-3.05
18.175,184,-1.92,-2.29,2.39
18.207,184.0625,-0.53,-0.56,-4
18.239,184.0625,-1.42,1.55,3.46
18.271,184.0625,1.64,8.32,1.37
18.324,183.9375,1.15,3.65,-5.36
18.356,183.75,-0.27,3.87,-0.76
18.388,183.75,-0.54,6.47,0.15
18.42,183.75,1.17,3.91,-1.65
18.452,183.75,-0.39,0.83,0.84
18.504,183.8125,-0.51,-2.81,3.17
18.536,184.0625,1.45,-0.54,1.95
18.568,181.5,3.05,6.08,2.92
18.6,176.5,9.33,6.16,3.89
18.632,170.9375,8.06,2.12,1.02
18.704,165.25,7.39,0.99,1.95
18.736,150.25,8.81,1.15,2.38
18.768,144.875,6.63,1.78,2.86
18.8,139.75,4,3.4,3.65
18.832,134.875,2.59,0.67,4.85
18.864,130.1875,8,0.12,-1.9
18.896,124.1875,3.69,-2.62,-2.38
18.928,119.625,7.35,-1.62,-2.08
18.96,115,4.96,-0.91,-1.49
18.992,110.375,6.37,0.37,-2.47
19.024,105.6875,6.14,-0.32,-1.41
19.096,93.875,5.12,-3.58,-2.76
19.128,89.8125,6.95,1.4,0.71
19.16,85.75,4.91,-1.64,-1.49
19.192,81.8125,7.67,-1.02,-3.99
19.224,77.8125,8.55,-0.45,-3.85
19.256,72,8.41,1.99,2.45
19.288,67.875,3.53,1.13,3.59
19.32,63.5,5.79,0.79,2.28
19.352,59.5625,1.88,2.98,4.34
19.384,55.5625,7.17,5.84,-0.32
19.416,50.3125,9.09,0.52,-5.57
19.447,46.25,4.5,-1.29,-4.31
19.479,42.5,5.86,0.35,1.92
19.511,39.25,6.51,-2,-3.26
19.543,35.6875,5.85,0.15,1.42
19.575,30.8125,5.07,-0.4,-3.88
19.607,27.125,6.3,-1.12,-6.63
19.639,23.375,9.05,-1.4,-4.63
19.671,19.625,15.44,4.77,5.96
19.703,15.8125,4.88,1.7,5.21
19.735,11.6875,3.16,0.06,-6.09
19.767,6.5,1.3,-0.98,-2.79
19.799,3.75,4.35,-6.13,-5.02
19.831,1.375,1.01,0.94,4.36
19.863,359.3125,4.94,-2.15,-3.42
19.895,357.125,4.09,-1.81,-3.52
19.947,352.4375,1.65,-1.14,7.29
19.979,350.6875,0.22,-0.8,-2.44
20.011,349.875,0.58,-2.58,-1.7
20.043,349.6875,0.36,-2.45,0.39
20.075,349.5625,1.48,-2.13,-2.83
20.128,349.375,0.72,-1.36,2.68
20.16,349.25,-0.21,-3.28,-1.55
20.192,349.25,0.32,-1.37,-3.23
20.224,349.5,1.01,0.26,3.96
20.255,349.625,0.48,-2.54,-3.74
20.328,349.625,-2.58,0.32,6.65
20.36,351.4375,-3.06,4.25,-3.13
20.392,355.25,-9.9,0.42,3.88
20.424,359.5,-8.89,1.71,-2.31
20.456,3.6875,-4,0.36,-3.29
20.488,9.0625,-10.98,3.87,-0.79
20.52,12.8125,-7.48,4.43,0.87
20.552,16.4375,-9.91,1.69,-0.02
20.584,20,-6.58,-2.62,-4.13
20.616,23.625,-5.38,1.86,3.82
20.648,28.625,-6.92,-1.54,-4.34
20.679,32.25,-5.76,-2.45,-3.33
20.712,36,-4.82,1.46,3.41
20.744,39.75,-9.44,-1.8,-1.48
20.776,43.625,5.42,-3.67,-3.65
20.808,47.9375,-4.83,-1.85,0.31
20.84,51.4375,-0.68,1.18,0.18
20.871,55.125,-5.49,5.06,0.33
20.904,58.625,0.77,-4.41,-2.04
20.936,62.125,-4.09,2.83,3.7
20.988,69.0625,1.76,-1.06,0.49
21.02,72.5,-6.45,2.58,-4.27
21.052,76.0625,-7.73,-0.49,-1.63
21.084,79.4375,-2.16,2.52,-0.19
21.116,82.625,-7.23,1.37,3.31
21.168,89.375,-2.82,2.34,4.12
21.2,92.6875,-7.03,1.59,-1.7
21.232,96,-9.7,-0.29,-2.3
21.264,99.25,-0.86,1.78,-0.69
21.296,102.4375,-4.75,0.32,3.25
21.328,106.625,-5.88,-1.04,-4.21
21.36,109.0625,-1.38,-2.99,-0.71
21.392,110.3125,0.61,-3.38,-2.99
21.424,110.6875,-1.33,-1.07,-0.14
